pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
FF,2024-09-28,94.9,-0.03,6.4,"Judge, Aaron",592450,681347,strikeout,swinging_strike,,,,,12,Aaron Judge strikes out swinging.,R,R,R,NYY,PIT,S,2.0,,2,2,2024,-0.57,1.64,1.25,2.95,,,665742.0,1,4,Bot,,,,,,,4.5851687148160245,-137.82056456545385,-6.9056005775235425,-8.318410380253123,35.871789831150025,-10.021772829764874,4.0,1.8,,,,93.8,2165,6.1,745685,518735,669707,694377,643396,693304,695257,665833,641943,54.36,,0.0,0.0,1.0,0.0,0.0,,27,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,204,-0.036,-0.229,76.4,8.5,,0.229,,-2,-2,0.304,0.304,24,32,25,32,1,1,,2,,7,0.94,0.57,0.57,57.6,16.715187866933263,1.1051258860443922,34.57573612831862,57.08409371194708,22.35877558298471,592450,batter,2025-06-21T20:39:47.532726
CH,2024-09-28,86.5,-0.55,6.48,"Judge, Aaron",592450,681347,,ball,,,,,13,Aaron Judge strikes out swinging.,R,R,R,NYY,PIT,B,,,1,2,2024,-1.72,0.82,-0.32,0.96,,,665742.0,1,4,Bot,,,,,,,4.053813017392728,-125.50368369031924,-8.434293077225346,-18.871639990967196,30.010606515545692,-21.792086460883997,4.13,1.92,,,,85.4,1474,6.1,745685,518735,669707,694377,643396,693304,695257,665833,641943,54.37,,,,,,,,27,4,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,239,0.0,0.048,,,,-0.048,,-2,-2,0.304,0.304,24,32,25,32,1,1,,2,,7,2.29,1.72,1.72,47.7,,,,,,592450,batter,2025-06-21T20:39:47.532726
FF,2024-09-28,94.7,-0.08,6.43,"Judge, Aaron",592450,681347,,foul,,,,,4,Aaron Judge strikes out swinging.,R,R,R,NYY,PIT,S,,,1,1,2024,-0.83,1.37,-0.52,2.99,,,665742.0,1,4,Bot,,,,,,,0.6811073041679799,-137.89673140400583,-6.404324483311924,-10.734757274080147,29.219155332147498,-13.45564868770906,4.0,1.8,6.0,68.2,-26.0,94.9,2121,6.3,745685,518735,669707,694377,643396,693304,695257,665833,641943,54.25,,,,,,,,27,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,206,0.0,-0.059,73.5,7.9,,0.059,88.0,-2,-2,0.304,0.304,24,32,25,32,1,1,,2,,7,1.16,0.83,0.83,58.3,22.11032560545056,-3.3185059843752134,36.642869844963265,36.196763778227194,28.48995971904093,592450,batter,2025-06-21T20:39:47.532726
SL,2024-09-28,87.5,-0.49,6.34,"Judge, Aaron",592450,681347,,ball,,,,,3,Aaron Judge strikes out swinging.,R,R,R,NYY,PIT,B,,,0,1,2024,0.47,0.64,0.82,4.08,,,665742.0,1,4,Bot,,,,,,,2.164760631443039,-127.42487791796536,-0.637893939790504,4.704062300523941,26.758241836623288,-25.24333112029385,4.04,1.86,,,,86.8,2292,5.8,745685,518735,669707,694377,643396,693304,695257,665833,641943,54.66,,,,,,,,27,2,Slider,0,2,0,2,2,0,0,2,Standard,Standard,170,0.0,0.029,,,,-0.029,,-2,-2,0.304,0.304,24,32,25,32,1,1,,2,,7,2.33,-0.47,-0.47,45.2,,,,,,592450,batter,2025-06-21T20:39:47.532726
CU,2024-09-28,79.4,-0.4,6.36,"Judge, Aaron",592450,681347,,called_strike,,,,,7,Aaron Judge strikes out swinging.,R,R,R,NYY,PIT,S,,,0,0,2024,0.44,-1.18,-0.69,2.02,,,665742.0,1,4,Bot,,,,,,,-1.4448418907016256,-115.50621815451538,-0.4448361298541212,4.185088254477984,24.315635458229952,-42.776207619837294,4.07,1.86,,,,78.1,2726,5.7,745685,518735,669707,694377,643396,693304,695257,665833,641943,54.82,,,,,,,,27,1,Curveball,0,2,0,2,2,0,0,2,Standard,Standard,32,0.0,-0.04,,,,0.04,,-2,-2,0.304,0.304,24,32,25,32,1,1,,2,,7,4.84,-0.44,-0.44,53.6,,,,,,592450,batter,2025-06-21T20:39:47.532726
ST,2024-09-28,86.5,-2.31,5.61,"Judge, Aaron",592450,694973,strikeout,swinging_strike,,,,,14,Aaron Judge strikes out swinging.,R,R,R,NYY,PIT,S,2.0,,1,2,2024,0.71,0.32,1.13,2.52,,,,2,1,Bot,,,,,,,6.786916195604407,-125.67020650957468,-1.678419913320695,5.830417022204002,29.702159130679014,-28.677369102106105,4.0,1.8,,,,86.1,2304,6.5,745685,518735,669707,694377,643396,693304,695257,665833,641943,53.98,,0.0,0.0,1.0,0.0,0.0,,7,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,122,-0.01,-0.18,70.0,7.7,,0.18,,0,0,0.51,0.51,22,32,22,32,1,0,6.0,2,,7,2.78,-0.71,-0.71,23.7,2.4565035284489767,7.095710566250026,38.27715841715395,55.1555882698153,19.082997956642117,592450,batter,2025-06-21T20:39:47.532726
FF,2024-09-28,99.5,-2.24,5.76,"Judge, Aaron",592450,694973,,foul,,,,,11,Aaron Judge strikes out swinging.,R,R,R,NYY,PIT,S,,,1,2,2024,-1.37,0.88,-1.04,3.09,,,,2,1,Bot,,,,,,,6.51532701929539,-144.48935257245813,-3.8513161749792646,-20.747680667149016,40.874602880656,-19.258685051979025,4.0,1.8,177.0,77.6,16.0,98.8,2229,6.5,745685,518735,669707,694377,643396,693304,695257,665833,641943,53.99,,,,,,,,7,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,243,0.0,0.0,74.0,7.4,,0.0,88.0,0,0,0.51,0.51,22,32,22,32,1,0,6.0,2,,7,1.48,1.37,1.37,22.4,12.119274156146194,-4.274714953258815,43.053524813149394,28.28776763554982,21.14664632563061,592450,batter,2025-06-21T20:39:47.532726
FF,2024-09-28,100.7,-2.01,5.82,"Judge, Aaron",592450,694973,,ball,,,,,12,Aaron Judge strikes out swinging.,R,R,R,NYY,PIT,B,,,0,2,2024,-1.53,1.29,1.26,4.5,,,,2,1,Bot,,,,,,,12.670036205834696,-145.93887995679808,-1.262992039967059,-25.029348589581012,40.47565248201348,-13.886833683608751,4.04,1.92,,,,99.8,2391,6.4,745685,518735,669707,694377,643396,693304,695257,665833,641943,54.1,,,,,,,,7,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,234,0.0,0.023,,,,-0.023,,0,0,0.51,0.51,22,32,22,32,1,0,6.0,2,,7,1.01,1.53,1.53,28.8,,,,,,592450,batter,2025-06-21T20:39:47.532726
SL,2024-09-28,87.1,-2.3,5.56,"Judge, Aaron",592450,694973,,called_strike,,,,,6,Aaron Judge strikes out swinging.,R,R,R,NYY,PIT,S,,,0,1,2024,0.14,0.75,0.34,2.52,,,,2,1,Bot,,,,,,,6.0774163863162265,-126.69436230686188,-2.6144270421825095,0.1011786757907176,28.051790255028173,-23.798126865027765,4.0,1.82,,,,87.0,2371,6.5,745685,518735,669707,694377,643396,693304,695257,665833,641943,54.04,,,,,,,,7,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,94,0.0,-0.058,,,,0.058,,0,0,0.51,0.51,22,32,22,32,1,0,6.0,2,,7,2.28,-0.14,-0.14,20.2,,,,,,592450,batter,2025-06-21T20:39:47.532726
FF,2024-09-28,100.8,-2.17,5.8,"Judge, Aaron",592450,694973,,called_strike,,,,,12,Aaron Judge strikes out swinging.,R,R,R,NYY,PIT,S,,,0,0,2024,-1.54,0.8,0.93,3.16,,,,2,1,Bot,,,,,,,12.29424825839797,-146.1626844523454,-3.8505183878956224,-25.14045408952776,37.13979944897595,-19.95110537393911,4.04,1.96,,,,100.6,2413,6.5,745685,518735,669707,694377,643396,693304,695257,665833,641943,53.96,,,,,,,,7,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,240,0.0,-0.041,,,,0.041,,0,0,0.51,0.51,22,32,22,32,1,0,6.0,2,,7,1.47,1.54,1.54,25.3,,,,,,592450,batter,2025-06-21T20:39:47.532726
